SGC Code,,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25
5927806,    Indian Government District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5924,  Strathcona RD,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,45,0,0,638,0,0,42,0,400,41,0,0,60,0,0,0,0,0,0,640,0,0,"1,940",0,0,0,0,0,0,50,120,35,70,0,0,0,597,0,169,30,11,13,350,0,0,90,0,0,18,45,0,0,0,0,25,7,"2,100",0,0,0,0,0,675,70,0,7,0,0,112,0,0,0,55,0,0,0,0,0,205,50,"2,295",0,0,0,40,350,40,0,0,98,90,0,3,0,0,0,0,240,0,29,134,157,70,45,258,126,30,132,210,49,24,138,55,55,0,80,3,0,0,"10,051",37,125,304,261,423,163,"2,232",0,"1,007","4,530",0,0,253,0,4,30,98,12,25,0,0,178,45,81,0,226,167,10,70,230,0,55,75,"1,177","1,013",95,0,"6,203",565,466,0,"4,120",255,975,25,65,0,"1,020","1,008",33,15,17,454,50,18,0,83,0,50,"3,950","1,497",75,0,60,50,125,157,550,300,30,169,100
5924034,"    Campbell River, C",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,45,0,0,0,0,0,42,0,0,41,0,0,60,0,0,0,0,0,0,640,0,0,790,0,0,0,0,0,0,50,120,35,70,0,0,0,597,0,169,30,11,13,350,0,0,90,0,0,18,45,0,0,0,0,25,7,"2,100",0,0,0,0,0,675,70,0,7,0,0,112,0,0,0,55,0,0,0,0,0,205,50,"2,295",0,0,0,40,350,40,0,0,0,90,0,3,0,0,0,0,240,0,29,134,157,70,45,258,126,30,132,210,49,24,0,55,55,0,80,3,0,0,"10,051",22,125,304,261,423,163,32,0,"1,007","4,530",0,0,253,0,4,30,98,12,25,0,0,178,45,81,0,226,167,10,70,230,0,55,75,130,"1,013",95,0,"6,203",110,466,0,"4,120",255,975,25,65,0,"1,020",849,33,15,17,454,50,18,0,83,0,50,"3,950","1,497",75,0,60,50,125,78,550,150,30,169,0
5924025,"    Gold River, VL",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
5924039,"    Sayward, VL",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5924000,"    Strathcona, RDR",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,047",0,0,0,0,455,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,150,0,0,0
Development Region, Mainland/Southwest DR,"15,622","6,889","7,336","6,861","10,872","11,707","11,832","9,304","14,112","14,633","12,770","7,821","3,556","18,344","6,902","10,359","10,036","41,214","16,543","8,348","14,401","10,116","44,627","13,981","11,105","10,565","19,348","15,894","10,854","17,391","13,660","28,409","7,258","12,533","19,667","21,060","8,843","19,892","13,120","17,505","12,988","18,061","16,118","30,002","31,790","12,644","35,581","11,335","9,972","13,469","19,500","13,093","6,736","16,448","21,561","17,180","7,739","12,924","15,230","19,748","9,674","28,280","15,909","13,055","18,699","11,498","10,351","7,661","13,815","18,213","11,171","15,019","11,718","15,407","14,969","6,526","15,285","18,527","14,449","11,560","7,043","15,394","6,773","5,777","5,345","3,477","11,025","10,950","10,731","20,721","9,340","7,105","7,272","13,842","8,462","7,186","7,602","12,632","10,488","17,495","7,855","20,504","9,838","13,097","8,183","22,504","32,664","13,219","35,861","15,155","18,328","12,804","22,252","18,234","15,253","14,407","23,066","26,844","15,000","11,841","20,659","17,650","16,801","10,563","25,317","9,735","45,717","17,195","7,065","23,322","16,566","8,900","18,372","10,067","24,822","13,632","27,604","9,617","23,834","16,452","12,722","8,650","10,954","22,290","10,988","11,914","66,149","10,681","13,679","35,347","12,134","30,070","11,087","69,616","40,375","14,746","15,560","23,911","32,092","10,212","11,923","27,245","16,020","12,474","49,893","22,202","26,442","21,270","32,400","20,262","16,124","26,020","26,333","75,125","19,456","65,354","35,241","70,917","21,049","23,031","25,351","18,915","26,502","25,295","44,726","21,283","46,930","22,032","22,244","10,194","34,500","35,425","9,970","17,852","65,952","48,679","24,069","22,332","57,177","10,326","71,858","47,404","59,248","21,782","33,333","37,052","51,889","12,408","13,390","24,440","22,360","67,911","77,041","22,519","8,342","45,485","16,104","20,963","76,067","12,344","45,209","36,627","21,039","34,232","39,678","42,548","40,788","10,243","67,211","19,384","124,874","19,664","69,884","27,792","22,854","35,957","33,082","21,440","22,055","20,274","82,672","11,692","86,696","23,485","20,829","52,910","46,627","70,579","16,155","18,100","69,402","16,071","23,278","202,621","15,025","91,847","35,801","11,066","351,195","89,238","11,619","30,762","23,859","14,496","17,310"
5909,  Fraser Valley RD,"1,632","2,046","1,262","1,799","3,268","3,344","1,355","3,265","1,414","3,473","3,273","3,012",981,"12,972","3,755","2,585",993,"15,696","1,380","1,823","6,805","5,629","1,415","1,179","6,255","2,622","2,358","6,759","4,481","3,472","2,164","4,566","2,125",372,"1,266","1,197","4,105","10,033","3,260","7,979","2,591","1,217",905,"9,721","1,544","6,715","1,544","3,192","1,269","1,697","3,840","4,476","1,496","2,810","9,772","6,951","1,199","1,620","1,046","2,458","2,064","2,280","9,462","2,399",841,"1,737","2,274","3,639","2,192","2,253","2,319","9,102","1,127","7,388","5,591","3,476","3,360","2,989","2,599","2,111","3,936","5,138","1,263","1,401","1,604",588,"3,371","1,935","1,903","5,352",749,"1,509","1,445","1,183","1,202","2,534","1,224","2,131","3,072","1,181","1,591","1,639","5,574",996,"2,297","9,808","3,315","2,602","2,964","2,335","4,095",833,"3,654","3,291","2,006","1,146","2,324","2,580","2,731","2,204","2,070",143,"1,629","2,517","4,660","2,652","6,488","2,642","1,829","1,108","4,175",563,"13,981","5,068","2,329","1,617",961,"4,855","1,811","7,852","3,195","2,887","2,705","2,222","1,652","4,959","3,971","1,875","1,442","8,288","5,307","5,798","2,769","6,810","2,608","8,007","7,539","12,438","6,301","1,990","3,873","10,437","1,896","3,416","8,155","10,733","1,401","4,983","5,005","3,367","6,989","9,138","14,263","3,151","6,530","47,411","7,463","10,812","4,140","2,886","4,296","9,503","6,474","5,306","4,079","3,301","10,664","4,088","12,191","2,145","3,243","27,314","4,313","8,307","4,305","6,805","8,571","3,851","7,618","1,363","3,711","25,733","5,257","7,920","8,673","3,280","7,303","3,289","3,134","5,616","13,354","2,387","7,876","4,185","1,898","9,088","5,102","3,597","6,615","1,987","10,245","4,611","9,261","10,194","3,294","18,709","3,361","3,110","11,985","8,800","9,691","7,071","8,665","1,153","6,976","3,572","7,113","3,038","4,400",635,"2,428","4,309","6,060","5,734","7,720","1,063","1,276","7,345","4,234","7,509","5,094",619,"3,392","186,836","3,094","6,543","5,184","2,047","11,115","82,605","4,088","5,766","2,009","1,176",592
5909052,"    Abbotsford, C","1,316",710,601,863,"2,459","2,805",975,"2,727",808,679,"1,994","2,944",739,"1,706","2,385","2,060",419,"14,365",515,"1,214","6,076","1,568",903,72,"6,074","1,303","2,179","6,510","3,118","2,588","1,373","3,756","1,124",175,702,77,"3,771","9,144","2,407","7,407","1,497","1,116",240,"1,063",841,"6,262","1,262","2,680",454,"1,336",615,"4,188","1,194",918,"7,252","1,219",344,956,133,133,"1,518","1,025","1,050",867,66,976,"1,607","2,153",79,"1,736",854,532,50,"5,263","4,190",855,"1,874","1,998",896,552,"1,032","1,320",456,664,821,315,"1,774",854,"1,523","3,113",405,"1,091","1,068",626,486,"1,430",815,847,"1,382",730,898,605,399,479,"1,089","6,304","1,378",335,"2,738",679,226,416,"3,476",486,901,511,362,"1,280","1,831","2,049","1,393",5,951,"1,557","1,639",949,"3,077",350,"1,315",830,109,103,"13,513",556,"1,373","1,052",413,"4,645",900,"6,851","2,124","2,178","1,239",895,431,87,"1,291",0,660,"4,724","3,403","2,424","2,125","4,235",663,"6,638","5,413",357,"2,015",897,"1,955","1,047",528,"1,644","1,750","7,273",118,"2,112","4,238","1,817","2,758",220,"11,462","2,145","1,895","9,754","2,674","7,700","2,422","2,337","1,594","6,379","2,960",500,"1,135","2,119","9,325","1,265","1,232",794,"1,565","24,193","1,482","2,068","2,568","3,657","2,025","1,802","1,109",961,"3,257","14,888",817,"2,758","2,092","2,691","3,284","1,776",680,"2,523","10,296","1,357","6,447","3,056","1,112","2,811","1,122","1,236","5,803",896,"8,403","1,237","3,749","4,724",920,"9,792","1,570","2,800","10,865","3,220","8,975","6,059","6,480",695,459,"1,581","1,830",896,"3,344",525,"1,113","2,687","2,067","4,569",471,583,60,"4,340","3,519","6,781","4,966",250,600,"186,585",633,"1,208","2,784",477,"2,035","1,916",15,"2,676",377,210,251
5909020,"    Chilliwack, C",236,"1,109",345,776,775,337,380,238,215,"2,684","1,251",68,242,"11,122",550,480,565,"1,023",573,183,457,"3,989",486,303,122,608,95,157,671,714,417,326,"1,001",150,520,"1,120",19,435,824,308,764,5,517,"8,552",261,393,197,474,364,361,617,76,124,622,"1,077","4,794",322,450,483,"1,830",325,"1,092",957,601,736,449,429,"1,276","1,414",468,25,"8,488",67,"2,095","1,191",592,611,468,"1,486",264,"2,597","3,482",472,162,597,51,886,790,313,"1,800",182,418,301,177,502,978,261,667,380,404,255,518,380,263,328,"2,762",7,383,81,"1,172","2,928",314,120,"1,293","1,020",177,"1,585",631,385,114,283,96,532,480,"1,832",0,"3,301",572,448,261,"3,791",314,378,"4,111",714,480,504,113,13,338,646,310,102,"1,099",730,"2,401",812,"1,374",396,"2,069","1,077","2,762",618,"2,185","1,011",969,"1,057","10,374",336,993,820,"6,871","1,113","1,535","4,359","3,049","1,113","2,816",300,"1,165","1,920","8,600","1,996","1,006","4,010","36,955",913,"2,459","1,198",505,"2,313",600,"2,911","3,290","2,563","1,128",808,"1,632","10,889",515,638,"1,458","2,181","2,215","1,471",900,"4,984","1,791","3,367",0,278,"10,725","3,781","4,362","4,822",589,"2,194","1,513","1,101",926,"1,823",880,"1,269",475,489,203,"2,430","1,011",767,728,"1,262","3,041","5,312","5,120","1,490","7,439","1,630",135,980,"5,560",716,"1,012","1,990",370,"3,391",610,"2,344",792,640,85,"1,130","1,612","1,475","1,025","6,968",480,"1,216","1,155",473,650,110,105,"2,792",100,"1,185","5,205","1,850",470,"2,050","79,289","4,073","2,240",900,660,190
5909035,"    Fraser Valley H, RDA",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,213,0,56,237,0,14,0,0,60,0,0,302,0,0,0,12,13,65,61,230,0,21,0,0,0,28,0,0,0,0,0,0,0,70,0,35,536,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,173,0,0,0,200,0,0,0,189,0,0,0,0,0,0,0,0,150,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,28,0,0,0,0,0,0,0,"1,100",0,"1,000",0,0,700,0,0
5909000,"    Fraser-Valley, RDR",0,0,0,0,0,168,0,32,179,0,22,0,0,0,0,0,9,0,17,0,48,0,0,390,59,36,0,0,92,0,145,209,0,0,0,0,0,0,29,0,0,0,0,106,347,0,0,38,131,0,"1,593",14,25,142,453,805,350,188,96,30,194,136,852,94,39,0,0,0,0,0,0,0,0,0,0,"1,725",255,0,50,866,37,25,77,0,170,0,650,15,0,0,0,0,0,66,214,6,148,617,35,15,280,408,95,254,880,455,95,515,145,138,471,100,58,"1,408",36,99,77,346,478,41,77,17,0,310,0,210,60,"1,318",66,0,275,110,90,151,161,44,44,97,44,152,156,101,"1,161",198,0,"2,188","1,757",445,86,"1,313",0,0,26,280,912,0,332,86,"3,315",0,957,151,0,146,403,271,149,55,50,385,562,191,447,0,520,322,50,0,375,40,79,650,40,116,176,0,531,0,70,836,95,"1,553",200,"1,205",258,"1,295",709,100,"3,022",30,0,0,359,0,59,0,400,0,680,"1,917",865,90,40,245,150,215,20,"1,200",0,0,540,150,200,240,155,"1,350",0,0,40,0,0,0,125,0,"1,948","1,100",189,300,400,0,0,0,18,0,210,0,0,0,25,50,18,250,0,100,470,100,550,0,0,400,0,830,0,200,151
5909027,"    Harrison Hot Springs, VL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5909009,"    Hope, DM",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,33,0,0,0,0,0,675,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,198,0,76,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,9,0,46,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,"1,700",0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,150,0,0,0,30,0,0,90,0,0,0,0,66,0,0,0,0,55,0,280,0,0,0,"1,289",0,"1,300",0,0,0,0,0,0,428,0,0,"1,500",0,0,0,0,0,106,0,0,0,350,"1,500",0,"1,000",0,90,0,0,60,120,0,0,"1,230",0,0,0,0,0,0,0,0,0,0,161,75,0,0,0,0,0,0,"1,000",0,0,0,0,0,6,0,0,100,20,0,0,65,100,0,0,0,0,0,222,0,0,0,0,0,0,0,32,0,0
5909032,"    Kent, DM",80,212,300,147,34,34,0,268,207,110,0,0,0,131,820,45,0,308,275,393,178,72,26,414,0,0,0,78,600,135,229,275,0,5,0,0,315,454,0,264,330,96,148,0,45,0,85,0,320,0,306,0,153,"1,052",0,133,183,0,334,239,0,0,0,837,0,286,175,60,467,40,125,0,885,7,75,304,599,518,132,101,22,0,0,380,0,0,0,7,0,0,6,0,0,0,0,0,0,0,"1,260",0,158,0,"4,700",0,0,0,74,"1,369",0,50,447,0,0,104,49,320,300,291,37,0,0,0,121,103,"1,189","1,418",0,0,0,17,0,0,0,0,5,0,0,0,736,228,269,275,202,0,340,70,53,0,0,49,775,584,0,0,0,400,359,"1,621",455,0,0,"2,333",0,30,355,0,0,0,417,0,0,0,0,0,0,325,0,300,22,4,250,24,367,0,205,24,0,"1,191",0,0,450,110,450,850,8,953,790,83,0,116,3,0,0,450,0,0,425,0,42,175,370,0,0,350,0,0,59,0,0,363,40,147,0,110,400,0,0,100,100,20,0,0,0,88,178,281,0,850,16,0,0,10,"2,500",40,6,0,0,"1,785",66,0,0,14,0,26,234,30,0,0,0,0,0,0,0,0,0
5909056,"    Mission, DM",0,15,16,13,0,0,0,0,5,0,0,0,0,13,0,0,0,0,0,0,46,0,0,0,0,0,0,14,0,35,0,0,0,42,44,0,0,0,0,0,0,0,0,0,50,60,0,0,0,0,0,0,0,0,990,0,0,26,0,226,27,27,"6,603",0,0,26,50,150,232,0,"1,315",36,125,23,135,0,21,0,35,328,248,311,258,144,16,222,61,269,67,439,52,0,76,314,0,120,0,0,15,25,0,108,0,0,0,287,61,0,0,296,23,3,0,0,0,39,0,32,0,0,0,25,25,67,0,75,50,0,0,0,0,36,0,0,76,41,0,0,118,283,0,23,1,30,151,0,58,0,0,133,38,28,0,50,22,0,76,0,30,100,129,22,160,0,"1,058",50,0,0,0,0,"1,655",127,358,0,105,0,"3,826",73,53,0,0,0,196,0,0,30,0,0,0,0,67,0,0,469,0,0,63,75,120,0,0,120,300,0,0,0,0,0,352,75,0,0,0,59,147,"4,629","1,471",0,0,0,0,36,0,0,329,128,0,0,0,0,0,0,70,0,0,0,"2,750",200,0,25,179,0,0,0,45,0,0,0,0,0,0,0,0,25,350,0,0,0,"7,030",0,0,20,0,106,0
