SGC Code,,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25
5924025,"    Gold River, VL",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,35,165,0,60,0,0,0,0,0,0,250,7,0,0,7,0,0,4,0,0,0,0,0,0,300,0,25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,75,75,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5924039,"    Sayward, VL",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5924000,"    Strathcona, RDR",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,"1,800",26,0,0,0,0,469,0,0,84,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Development Region, Mainland/Southwest DR,"53,388","27,564","43,063","65,345","58,055","58,525","81,063","55,825","63,027","72,601","50,917","67,993","86,519","45,006","58,093","69,985","72,378","131,848","51,151","89,428","75,712","57,590","44,392","79,393","73,251","87,328","192,132","107,196","135,019","146,995","83,851","77,090","114,892","60,023","54,889","72,000","82,692","76,435","159,351","127,757","164,942","158,403","132,346","180,274","91,926","328,191","210,851","95,796","148,281","180,783","170,156","184,587","224,586","283,123","121,087","109,711","82,012","138,185","109,263","146,415","89,427","74,370","141,622","218,282","313,457","215,252","107,029","119,079","146,908","232,448","176,878","76,645","56,052","76,862","95,665","45,819","129,733","77,359","87,269","110,642","64,824","75,623","160,161","118,939","60,607","69,760","81,494","93,216","86,096","76,006","165,782","48,307","142,509","160,060","76,850","102,830","58,369","83,940","252,436","87,834","150,980","106,659","173,746","90,266","70,950","57,285","65,847","177,439","152,769","125,112","89,008","167,827","84,775","95,316","191,572","136,806","288,175","135,116","90,571","66,844","58,713","110,916","78,472","90,496","79,100","171,264","84,772","129,155","105,469","196,625","156,122","74,228","106,437","183,684","101,722","82,863","116,224","157,782","151,677","73,329","82,880","357,195","65,586","167,631","69,696","89,876","206,209","174,195","105,393","186,491","159,119","161,428","140,084","125,210","110,920","187,116","109,648","189,937","170,553","121,722","136,385","138,743","131,179","102,226","66,865","149,531","112,496","114,643","136,512","136,827","127,648","113,377","128,680","150,785","123,800","166,450","124,678","246,878","180,704","174,176","193,781","165,576","303,876","104,473","144,939","159,352","140,334","408,580","159,439","190,425","494,195","613,169","180,922","133,900","423,396","351,985","247,562","110,091","316,640","255,369","451,161","126,040","196,137","99,477","166,922","191,977","212,221","72,310","99,422","275,551","198,288","129,911","139,310","168,947","184,384","314,104","120,632","134,568","175,808","205,758","108,807","142,618","170,398","193,832","171,173","151,822","175,614","449,644","124,673","128,525","347,442","212,974","412,057","317,735","230,953","226,399","307,621","365,959","103,237","423,215","242,151","112,210","767,732","70,927","211,991","386,874","148,595","279,599","183,998","171,568","180,524","246,908","268,971","337,249","126,436","552,217","219,145","389,528","368,642","101,286","115,476","127,384","183,459","213,511","186,969"
5909,  Fraser Valley RD,620,"1,812","12,312",504,"4,004","4,051","21,738",807,"3,617","1,967","1,488","1,796",309,"1,520","2,639",990,"1,430","2,564","1,734",404,"3,636","3,093","1,500","2,299","1,433","5,750","6,129","2,684","1,909","7,735","3,925","2,424","2,304",448,"8,423","8,142",842,847,"17,276","9,165","14,014","15,431",828,"3,429","1,202","8,870","13,046","5,939","4,655","10,691","3,762","8,820","16,747","3,032","8,526","9,448","8,201","13,367","14,242","10,868","20,190","1,451","9,248","58,444","10,448","3,752","1,854",655,"24,114","25,630","5,912","2,610",637,"2,727","33,127",217,"7,302","5,879","2,726","11,066",916,"7,203","4,388","5,101","2,078","1,383","1,949","1,720","5,440","1,828","12,195","5,089","12,458","5,880","11,889","20,322","2,507","1,890","11,147",834,"102,177","6,966","5,753","6,777","4,496","9,228",148,"2,257","9,952","1,796","11,504","2,237","2,014","7,647","6,990",979,"3,465","1,844",586,"4,759","3,761",772,"3,474","3,165",751,"2,301","2,009",963,"9,709","1,639","4,363","9,062","6,424","5,103","4,680","1,000","5,158","5,166","9,453","1,504","5,716","5,146","6,952","3,711",667,358,"4,797","3,482","3,701","5,646","1,715","25,590","4,615","1,704","1,037","2,195","2,240","3,301","2,000","2,443","7,750","13,389","7,323","1,154","9,769","3,023","3,639","1,028","2,852","5,503","2,212","8,416","6,055","3,813","12,221","16,316","1,145","4,895","3,574","13,284","44,462","5,877","2,169","12,780","21,160","5,986","7,147","13,602","6,828","4,431","4,562","9,305","7,592","9,098","1,660","10,422","19,415","6,040","32,344","17,766","11,390","10,518","11,059","11,188","7,023","27,341","11,792","13,312","14,641","7,348","19,195","1,055","14,052","12,464","19,768","5,936","4,277","6,901","20,565","9,609","6,284","11,811","11,460","3,991","5,458","14,641","35,013","8,003","24,926","17,651","15,850","4,716","28,239","41,831","2,444","3,829","82,584","28,398","9,124","22,238","16,206","3,783","20,990","5,615","44,225","22,686","13,822","32,401","4,901","3,041","34,282","29,643","6,991","98,730","8,536","8,933","30,627","55,232","35,848","9,513","5,263","10,464","4,911","17,791","10,224"
5909052,"    Abbotsford, C",0,305,"11,400",110,409,"1,776","1,063",100,240,"1,320","1,133",87,172,977,"1,491",7,22,0,"1,491",0,"1,150",335,0,60,"1,090","4,800","1,389","2,360",590,"1,448","1,530",960,0,0,612,755,7,0,"4,832","3,948","13,252","8,418",0,886,185,"2,790","11,057","4,428","2,000","7,835","1,238","5,505","15,337","2,405","4,637","4,952","2,726","9,394","13,182","8,160","19,790",400,"5,653","51,536","8,492","2,974","1,220",217,926,"7,300","1,595",0,147,740,"10,742",162,4,"3,721",107,"1,125",683,"5,371","2,069","5,030","1,973",80,830,0,"3,740",0,"1,749",0,"7,500","4,530","10,005","14,669",668,0,"7,926",0,"101,425","6,500",0,"5,477","2,656","3,052",0,145,0,0,270,"1,250",500,"4,575","6,580",100,100,"1,371",0,"3,950",0,450,0,"2,890",0,"2,025",0,575,"6,700",643,337,"8,887",240,"1,649",400,0,"2,280","4,650","4,114",673,0,161,"5,739","1,475",0,0,478,"1,945",368,"3,125","1,415","25,201","3,424",325,380,"1,538",772,"2,857",0,80,"4,317","10,987","2,600",90,912,0,0,40,"2,067","3,949","1,761","4,600","1,820",750,"1,217","8,626","1,000","3,500","1,700","12,143","32,352",408,640,"11,302","14,374","1,463","2,535",73,470,864,"1,083","5,791",213,"1,136",53,"2,614","3,443","3,564","27,436","11,647",737,"5,223","6,197","7,368","4,275","6,596","4,214",277,"12,436","5,150","7,886",375,"7,345","10,914","17,365","4,242","1,403","1,389","18,936","4,934","5,344","4,486","6,336","1,028","2,170","4,057","32,950","3,617","9,014","1,385","8,251","2,167","15,663","25,604",860,"1,585","75,925","23,027","2,661","16,291","13,511","3,505","15,976","3,488","10,038","5,833","5,753","19,373","1,247","1,128","6,701","27,159","2,925","96,725","7,494","1,231","19,861","1,920",915,"8,497","2,480","5,100","3,066","11,733","8,736"
5909020,"    Chilliwack, C",100,104,95,340,950,"1,710","20,675",671,377,620,155,"1,247",80,260,380,983,"1,258","1,480",132,0,"2,274","1,760",193,"1,805",100,950,"4,355",282,530,231,"2,395","1,113","2,265",228,"5,426","5,587",735,659,"12,423","4,215",35,"6,942",778,"2,490",725,"3,850","1,420","1,311",125,"2,240","2,370","3,298",10,556,"3,180","4,451","5,221","1,416",780,"2,708",145,555,"3,310","1,100",320,23,393,418,"23,188","18,270","3,951","2,540",450,"1,987","22,150",6,"4,980","1,734",986,"2,439",144,"1,765","1,218",0,105,"1,175",580,"1,350","1,700",662,"9,540","5,038",7,530,380,"2,662",620,"1,565",206,31,470,60,"1,412",70,"1,017",280,0,"1,855","8,428",296,"9,084",805,"1,257",333,410,275,"1,215",380,225,201,"3,692",285,620,144,420,0,"1,630",242,138,838,"3,255",175,"5,851","1,490","3,105","1,000",633,471,"3,482",752,"5,716","4,980",397,"1,994",463,0,"1,215","1,427","3,234","2,339",235,125,645,984,320,267,795,245,"1,330","1,085","3,330",682,"4,061","1,037","7,493","2,518","3,360",410,495,58,373,"3,601","3,178","3,060","10,862","6,830",105,400,"1,571",173,"11,076","5,421",888,595,"6,653",112,"4,565","9,567","5,612","2,935","2,251","2,673","6,500",733,"1,450",353,"15,282","1,376","4,475","1,514","10,045","2,908","1,430","1,560",436,"20,245","2,383","4,920",220,783,"9,606",600,"6,205",860,828,"1,419","2,022","5,212","1,080","4,167",840,"5,720","4,479","2,563","2,468","1,155","1,335","1,651","15,802","6,512","5,047",700,"6,031","7,620",844,630,"3,043","2,520","6,113","2,252","2,550",150,"2,640","1,152","33,417","14,804","5,369","4,773","1,962","1,345","24,660","1,706","3,655","1,601",403,"3,515","5,405","5,485","2,378",245,"1,220","4,368","1,545","2,790",220
5909035,"    Fraser Valley H, RDA",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,15,0,0,6,0,17,0,0,0,0,0,600,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
5909000,"    Fraser-Valley, RDR",0,828,0,0,7,10,0,0,0,0,0,0,42,0,0,0,0,229,3,0,0,0,0,0,143,0,0,0,0,43,0,141,0,0,344,0,0,0,15,0,0,0,0,0,82,600,0,0,"2,500",120,0,0,0,0,709,0,18,"2,213",0,0,30,0,0,0,80,0,0,0,0,0,0,0,0,0,0,1,950,0,50,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,25,0,0,0,0,"1,000","1,500",0,0,0,496,0,0,0,48,329,0,0,0,0,0,0,0,0,0,0,0,69,0,0,280,0,0,"2,000",0,80,0,0,0,0,0,0,0,"2,900",0,0,0,0,0,0,0,0,0,100,0,0,112,95,0,0,0,30,0,0,0,200,0,30,0,372,0,0,0,0,0,0,26,0,18,500,0,0,"4,000",0,0,0,0,0,0,0,0,0,50,10,0,200,0,0,0,"1,409","2,250",0,0,0,250,0,0,0,0,0,0,50,0,0,0,0,0,0,5,350,0,400,0,0,0,0,0,300,"1,800",0,"2,250",0,514,0,"1,000",0,0,0,0,600,250,0,0,665,5,375,80,0,0,0,250,0,0,0,0,400,260,200,0,0,0,0
5909027,"    Harrison Hot Springs, VL",0,175,2,42,150,0,0,0,"3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,20,40,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,25,8,0,721,0,0,48,0,0,5,20,0,6,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,35,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,30,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,50,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,70,82,0,40,0,0,0,0,0,0,0,0,0,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,13,0,0,460,0,0,200,0,0
5909009,"    Hope, DM",108,0,90,12,0,5,0,0,0,0,200,0,15,3,82,0,0,200,53,17,208,0,0,0,0,0,200,0,0,8,0,200,30,0,0,0,0,188,0,507,507,23,0,0,0,300,100,100,0,150,90,0,0,0,0,3,8,0,0,0,20,45,0,0,0,0,94,0,0,0,0,0,0,0,0,0,700,424,260,0,0,0,500,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,"1,555",0,0,0,0,30,120,0,0,0,0,0,0,0,21,0,0,0,"2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,93,0,0,0,0,0,0,0,79,0,50,0,0,79,0,0,0,0,0,300,0,0,0,229,0,0,12,0,104,0,0,546,0,250,0,0,185,0,140,3,20,993,0,800,0,0,0,334,0,54,0,468,0,0,0,0,270,"3,000",0,"6,308",0,0,0,335,0,"2,240","1,525",10,0,0,0,0,475,0,0,80,225,53,800,0,622,150,336,196,0,400,190,300,0,0,0,0,70,0,"2,040",0,200,0,350,0,0,200,150,"2,950",0,0,830,110,270,0,"1,630",0,350,20,"1,585",10,330,0,5,700,"4,862",0,250,0,600,105,0,0,48
5909032,"    Kent, DM",15,0,0,0,203,203,0,0,0,0,0,15,0,0,365,0,0,585,0,0,0,0,920,434,0,0,60,37,36,0,0,0,6,115,0,0,0,0,2,465,20,0,0,0,0,0,0,0,5,0,13,0,0,71,0,0,148,4,0,0,0,451,0,0,80,275,0,0,0,0,2,0,0,0,0,0,223,0,23,"6,500",72,0,600,2,0,0,51,0,0,915,543,0,20,805,7,20,0,50,108,0,0,400,0,0,2,23,0,156,0,0,0,31,101,0,0,129,0,0,5,0,0,27,0,4,0,142,0,0,"2,502",0,480,0,9,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,15,0,0,416,0,2,0,0,12,0,61,0,0,0,27,9,0,0,0,0,0,0,186,500,2,2,20,0,2,0,0,41,30,0,0,41,0,0,0,607,30,566,0,7,0,32,"1,097",0,0,27,0,155,0,0,0,0,0,39,0,0,0,0,0,12,110,0,0,0,0,0,0,0,327,0,70,350,57,0,40,40,"7,054",18,0,0,0,150,300,0,0,0,0,0,0,32,0,0,0,0,760,0,0,110,0,51,75,0,"2,853",30,30,0,0,0,0,0,0,0
5909056,"    Mission, DM",397,400,725,0,"2,285",347,0,36,0,27,0,447,0,280,321,0,150,70,55,387,4,998,387,0,100,0,125,5,753,"6,005",0,10,3,105,"2,041","1,800",100,0,4,30,150,48,50,53,210,"1,330",469,0,25,346,51,17,"1,400",0,0,42,80,340,280,0,205,0,285,"5,808","1,476",0,147,20,0,60,364,50,0,0,235,48,445,0,"1,300","1,002",17,25,1,1,0,44,488,370,0,226,355,51,"4,210",15,"1,497","2,923","1,219",25,"1,347",783,282,0,"4,256","1,175",701,"5,873",148,101,524,0,"2,150",151,135,"2,243",0,475,150,45,27,608,69,0,"2,854",92,331,134,379,146,369,158,222,0,6,"1,684",775,0,152,45,"1,775",79,0,5,816,242,125,130,154,110,99,88,65,234,130,395,335,90,573,87,145,876,8,"1,720",650,0,"1,206",505,279,26,90,"1,229",48,29,0,1,0,237,20,0,303,142,773,0,141,549,92,357,47,"3,494",139,602,655,791,602,"4,229",125,0,680,"1,100",200,"4,270",453,147,478,0,"2,312",500,"5,028","7,365","1,510","1,415","1,703",0,265,527,725,275,230,150,213,202,100,873,105,30,0,"9,290",728,"2,655",0,"2,700",194,49,"6,220","6,357",240,800,"3,616",651,200,395,145,128,912,615,500,"2,049",405,"7,490",967,421,"1,226",768,30,79,635,29,456,"47,798","31,905",51,763,891,100,"3,268","1,220"
5915,  Metro Vancouver RD,"52,318","24,779","30,594","53,760","53,410","49,407","57,733","54,779","46,667","70,281","48,471","65,565","84,062","42,402","47,710","67,202","70,163","128,889","47,377","81,294","69,967","54,474","42,534","76,326","70,232","78,689","168,053","102,738","128,906","136,846","63,166","73,546","111,923","57,638","45,248","62,044","78,691","72,351","139,937","118,015","129,179","142,525","126,619","174,848","89,684","308,525","196,539","89,631","133,306","161,261","166,081","173,224","205,321","268,380","111,561","97,667","69,704","117,668","92,980","133,413","69,119","69,607","132,086","154,721","287,248","210,487","100,580","117,458","120,856","204,674","169,681","73,584","53,230","72,811","60,346","32,649","118,141","68,655","81,386","95,783","58,349","66,522","153,056","110,733","58,117","67,324","74,527","90,053","79,479","73,620","151,460","42,906","127,269","148,493","64,269","80,245","55,374","81,521","238,942","81,129","48,338","93,799","167,192","81,909","65,335","46,934","64,641","174,218","142,633","122,620","76,966","165,149","81,134","85,433","183,235","134,351","280,458","131,082","89,706","61,730","53,912","102,674","74,570","85,486","77,714","167,231","81,561","127,250","95,667","191,692","149,264","64,512","99,843","176,922","85,977","75,770","103,729","151,547","139,682","67,222","76,950","350,764","57,831","162,836","61,384","87,583","199,132","167,952","98,991","180,055","154,059","134,466","133,023","121,403","109,385","184,282","104,514","184,542","164,512","110,851","126,234","123,123","122,905","89,564","53,757","145,113","107,907","113,485","133,385","130,787","119,275","100,576","116,970","143,780","108,733","148,873","118,816","240,324","176,032","160,693","148,003","158,746","294,321","89,658","120,361","150,873","127,371","390,568","149,146","182,334","485,545","601,353","169,851","124,293","419,677","340,234","218,906","101,870","282,232","232,890","433,411","114,827","179,755","87,634","158,420","158,090","197,909","55,375","73,214","264,062","178,843","127,515","124,796","151,130","161,814","307,301","116,179","126,936","153,522","192,579","101,514","129,197","156,762","189,230","162,293","131,203","137,759","441,018","96,292","109,389","330,950","199,569","382,838","269,740","227,922","210,960","217,858","336,788","93,164","400,677","223,390","107,175","743,326","60,098","164,186","361,788","132,354","242,758","177,531","165,849","145,076","216,366","260,519","235,399","116,754","529,049","187,424","331,940","306,767","87,143","106,864","115,550","168,247","189,491","174,341"
5915038,"    Anmore, VL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5915036,"    Belcarra, VL",0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,85,400,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0
