SGC Code,,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25
5921000,"    Nanaimo, RDR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,031",0,0,0,0,0,0,0,0,0,0,590,"1,479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,40,0,0,0,458,0,0,0,0,0,0,628,0,0,10,0,131,0,0,38,0,0,0,550,56,53,0,0,0,0,0,16,0,0,0,"1,522",0,0,0,0,0,"2,622","1,200","2,622",0,0,0,0,62,0,0,31,155,"3,317",0,47,59,0,15,0,0,0,61,0,18,47,0,66,0,0,0,18,0,0,89,593,0,908,0,47,28,0,0,0,41,0,18,0,0,0,0,0,20,450,0,0,0,0,75,0,0,20,0,0,0,129,0,25,0,57,0,0,20,0,0,0,0,0,0,20,0,0,0,0,40,0,0,0,0,0,0,"1,100","3,056",0,0,0,8,0,0,0,0,0,0,0,0,189,0,"1,800",0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,2,"6,281",481,0,0,0,0,0,0,20,0,0,0,"6,800",10,0,0,0,0,0,0,0,0,7,0,45,15,0,0,0,0,0
5921008,"    Lantzville, DM",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000",0
5921018,"    Parksville, C",0,20,0,0,0,0,254,2,0,0,35,0,14,0,0,0,0,0,1,30,512,0,46,36,0,0,0,0,46,0,0,0,0,0,15,0,42,0,0,0,0,0,0,0,450,0,0,0,29,0,"1,000",0,"21,985",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,800",40,0,0,0,0,0,0,0,0,0,0,0,0,0,138,"7,510",22,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"10,021",0,0,0,0,0,0,0,0,0,0,8,55,0,0,55,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,34,0,0,0,0,57,938,192,0,0,0,4,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,28,0,0,0,331,0,0,0,0,0,0,0,0,0,330,0,0,20,30,0,0,0,0,70,0,0,50,0,0,0,575,0,12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,189,0,0,0,0,45,0,0,2,0,0,0,0,0,400,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,6,0,50,300,0,0,0,0,0,0,"13,420"
5921023,"    Qualicum Beach, T",0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,100",0,0,0,0,0,"17,406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,100,0,30,0,0,0,0,0,13,0,3,50,3,0,0,0,0,0,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,490",0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,0,0,0,0,0,15,0,0,2,0,0,"2,250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,"1,020",0,0,0,0,0,0,0,75,0,"1,560",0,0,0,0,0,"3,500",0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0
5927,  qathet RD,10,0,0,0,17,2,0,0,0,0,0,0,0,0,7,50,5,190,0,4,50,12,3,0,926,65,0,300,9,0,10,"6,378",0,0,0,650,0,1,0,0,0,3,0,0,111,200,0,"2,978",0,50,0,0,0,0,0,0,0,0,"2,280",0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,25,0,0,2,0,143,0,0,35,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,000",0,0,0,0,0,3,0,10,0,0,3,0,20,0,18,40,0,3,0,"18,500",0,0,0,0,0,0,0,0,0,0,0,"2,143",0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,115,0,"3,070",0,0,0,0,"2,038",0,0,0,0,74,25,0,0,0,0,120,0,0,0,0,760,142,0,177,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,380,0,700,0,250,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,600",0,0,25,0,0,0,490,0,0,0,850,0,0,0,400,0,0,0,50,0,0,0,0,0
5927008,"    Powell River, DM",10,0,0,0,17,2,0,0,0,0,0,0,0,0,7,50,5,190,0,4,50,12,3,0,926,65,0,300,9,0,10,"6,378",0,0,0,650,0,1,0,0,0,3,0,0,111,200,0,"2,978",0,50,0,0,0,0,0,0,0,0,"2,280",0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,25,0,0,2,0,143,0,0,35,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,000",0,0,0,0,0,3,0,10,0,0,3,0,20,0,18,40,0,3,0,"18,500",0,0,0,0,0,0,0,0,0,0,0,"2,143",0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,115,0,"3,070",0,0,0,0,"2,038",0,0,0,0,74,25,0,0,0,0,120,0,0,0,0,760,142,0,177,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,380,0,700,0,250,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,600",0,0,25,0,0,0,490,0,0,0,850,0,0,0,400,0,0,0,50,0,0,0,0,0
5927806,    Indian Government District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5924,  Strathcona RD,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,"1,353",0,0,0,0,"2,460",945,7,0,0,945,40,0,750,0,0,150,0,"1,325",0,950,109,842,150,"1,575",773,0,0,0,675,14,0,0,0,0,0,0,0,0,0,0,370,0,0,225,0,0,0,900,0,0,"24,140",10,0,0,75,"2,000",0,0,0,0,"1,000",0,0,0,40,0,"6,477",0,120,970,0,616,0,0,"1,200","4,724",15,0,40,0,0,0,262,0,"5,600",0,0,50,600,0,60,400,0,0,0,0,0,0,499,0,0,0,0,"2,120",460,"5,500","1,400",0,0,0,0,248,350,100,70,0,0,0,"2,361",150,40,30,"1,362",110,0,150,0,70,0,0,0,0,0,1,0,"2,750","1,650",120,115,0,0,150,0,0,0,0,89,0,125,0,0,"1,535",250,0,0,50,50,0,780,383,50,115,"1,000",0,"13,900",0,0,0,50,0,991,"1,483",0,0,0,0,"1,798",739,0,0,0,0,0,0,60,0,0,0,0,0,4
5924034,"    Campbell River, C",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,"1,353",0,0,0,0,"2,460",945,0,0,0,0,40,0,500,0,0,150,0,"1,275",0,950,109,842,150,"1,575",323,0,0,0,675,14,0,0,0,0,0,0,0,0,0,0,370,0,0,225,0,0,0,900,0,0,"24,140",10,0,0,75,"2,000",0,0,0,0,"1,000",0,0,0,40,0,"6,477",0,120,970,0,616,0,0,"1,200","4,724",15,0,40,0,0,0,262,0,"5,600",0,0,25,600,0,60,400,0,0,0,0,0,0,499,0,0,0,0,"2,120",430,"5,500","1,400",0,0,0,0,248,200,100,70,0,0,0,"2,361",150,40,30,700,110,0,0,0,70,0,0,0,0,0,1,0,"2,750","1,650",120,115,0,0,150,0,0,0,0,89,0,25,0,0,"1,535",250,0,0,50,50,0,130,80,50,115,"1,000",0,0,0,0,0,50,0,0,"1,483",0,0,0,0,"1,798",739,0,0,0,0,0,0,60,0,0,0,0,0,4
5924025,"    Gold River, VL",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5924039,"    Sayward, VL",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5924000,"    Strathcona, RDR",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,7,0,0,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Development Region, Mainland/Southwest DR,"20,882","19,214","12,367","44,341","12,924","21,246","17,440","23,081","53,896","6,057","9,877","21,395","14,117","4,430","24,102","9,797","17,966","28,872","29,849","14,134","16,802","7,196","41,940","105,885","22,491","22,952","87,716","35,076","63,531","99,936","42,056","60,923","39,442","37,820","44,827","26,095","54,025","58,347","154,408","31,507","67,045","51,825","27,478","66,108","31,051","14,918","80,920","35,636","75,260","18,239","13,261","23,790","18,256","62,740","36,433","46,036","27,432","41,831","45,757","28,878","17,775","19,852","16,238","9,795","67,488","100,673","56,306","32,649","14,815","51,025","4,516","20,128","9,089","44,873","48,434","28,743","17,887","21,374","54,810","113,450","15,188","12,498","30,593","56,914","32,606","20,453","37,626","15,665","97,550","41,719","50,857","89,577","6,945","98,160","59,446","48,136","17,447","16,212","44,958","39,534","43,101","36,123","45,760","59,603","23,253","14,561","118,326","43,345","10,305","39,724","51,568","66,496","211,959","63,724","25,691","48,414","72,755","17,629","67,721","28,416","52,707","31,148","11,538","17,362","39,775","31,813","45,192","23,945","76,349","14,725","21,726","18,902","28,732","31,848","78,862","8,749","51,651","21,743","32,440","12,188","15,491","325,111","64,521","79,387","7,330","33,205","79,600","76,221","43,425","35,804","51,756","87,939","16,988","16,897","37,207","26,302","15,137","19,599","16,963","26,361","58,251","105,710","49,638","20,575","13,235","22,407","40,147","25,671","35,372","28,412","16,337","162,756","27,243","50,915","69,438","49,410","55,733","29,305","124,297","37,388","18,479","53,476","39,794","41,117","20,208","23,705","16,109","142,502","125,790","118,645","89,832","149,566","26,475","57,814","147,221","55,816","157,345","56,527","76,457","27,476","20,061","47,843","65,071","15,796","91,925","38,177","114,260","101,129","31,358","167,038","36,331","28,911","14,823","84,593","176,494","25,052","47,159","18,639","51,661","29,740","110,679","218,767","28,652","22,364","28,063","21,282","13,834","113,979","65,349","1,566,325","90,812","16,016","136,662","30,585","104,071","25,625","40,781","24,573","25,115","141,075","29,447","20,697","118,139","48,388","32,105","122,338","401,190","319,112","64,376","23,098","41,412","31,224","278,568","27,472","65,510","226,231","32,623","25,784","333,367","197,487","80,310","84,433","106,373","249,606","85,140"
5909,  Fraser Valley RD,"2,619",4,314,"6,080",216,690,"5,056",745,303,0,"4,158","3,210",281,678,"5,517","1,311",450,"3,036","2,488","7,105",25,0,"4,462",70,0,"4,256","52,399",447,"23,028","1,260","1,905","2,061",300,"19,616","17,823",0,335,0,"84,573","13,239","2,620","1,417","5,090",70,607,105,"17,743",0,23,"5,455",0,20,789,100,"3,647",497,0,"8,810",0,"8,369",40,367,"1,670","2,210",60,"16,708","9,978","1,881","4,000",270,0,0,"2,310",120,"27,150","1,150",160,"1,000",167,"8,712","1,435",60,"8,403",78,390,"1,500",192,614,800,"27,710","19,591",245,8,155,"11,360","34,401","1,058","1,200","17,160","1,340",250,"2,996",1,"38,183","1,579","5,685",188,151,750,"18,922","1,101","4,359","3,881","6,741",660,"1,098","30,835",444,"1,071","1,482",580,"2,250","3,430",936,"5,021","7,475","4,475",170,51,"1,875","3,401",160,"4,091","3,105",14,"3,593","3,897",659,"3,033","3,420","4,524",0,10,180,"1,813","7,580","6,452",87,"5,368","1,178",876,143,412,629,"1,400","7,818",50,249,57,585,82,900,"3,091",755,421,25,104,"1,186",0,70,13,319,"12,797","1,911","3,303",593,"3,328",477,812,"6,221","2,197",466,"3,742",230,899,895,156,"3,150",887,"1,370",160,"87,753",416,594,73,278,275,"7,689",107,"5,625",982,"10,413","11,527",0,985,"1,241",10,"34,028","2,870","25,000","9,689","1,105","2,001","9,618","23,317",495,115,197,"6,704",129,"16,780","17,030","5,820",300,238,"6,749","1,400",863,"1,333","13,400","4,787",371,"1,550","2,080",482,"1,000","2,800",0,"2,000",741,232,490,"10,255","10,248","4,265","2,061","6,311","14,380",193,430,"8,549","2,227","12,594","14,156",249,"1,410","2,554","4,292","2,721",855,"17,569","34,488","1,115",838,484
5909052,"    Abbotsford, C","2,619",4,0,0,195,315,"4,892",440,295,0,"2,350","3,210",248,570,513,0,0,"3,006",0,"7,090",0,0,"4,400",70,0,"1,141","52,384",0,28,0,"1,155",0,0,"19,590","16,526",0,335,0,"84,433","13,239","2,620","1,417",0,0,0,105,284,0,0,0,0,0,0,0,"2,700",0,0,"8,160",0,"8,369",0,0,0,"2,210",60,"16,705","8,453","1,060",0,170,0,0,"2,310",120,0,"1,150",10,"1,000",82,"2,250","1,085",0,150,0,350,0,0,600,800,"1,012",0,0,0,120,50,"32,901",0,0,0,570,0,"2,980",0,0,"1,579","5,647",3,0,0,2,50,"1,849","1,211",0,425,"1,096","9,071",353,811,155,0,750,"3,200",0,"1,250","7,330","3,099",0,0,75,0,0,"4,074","3,000",0,"3,593","3,673",100,0,"3,087",488,0,10,0,100,"5,980","6,200",12,"2,806",0,131,25,75,629,0,"7,528",0,155,0,0,0,0,20,0,20,0,10,536,0,0,0,115,"12,700",875,0,75,180,0,560,625,0,0,180,0,735,780,136,"3,150",627,437,0,"87,252",0,569,0,100,275,"4,130",26,"5,625",85,"10,367","11,327",0,432,546,0,0,"2,811",0,454,725,"1,450","9,265","22,657",20,115,197,925,81,257,"13,850","1,655",100,5,0,0,788,"1,140","13,400","4,787",0,500,280,0,500,600,0,0,670,72,0,"1,000",50,258,0,415,380,148,30,"8,414","1,477","9,000","11,306",54,"1,410","2,140",473,650,605,769,"33,976",130,748,20
5909020,"    Chilliwack, C",0,0,310,"6,080",0,50,40,0,0,0,"1,800",0,0,108,"5,000","1,300",0,30,"2,430",0,0,0,0,0,0,"3,115",0,40,"23,000","1,100",750,"1,700",0,26,"1,200",0,0,0,140,0,0,0,"4,395",0,200,0,"13,259",0,23,0,0,0,745,0,30,0,0,650,0,0,0,0,"1,670",0,0,0,600,0,"4,000",0,0,0,0,0,"27,000",0,150,0,85,0,0,0,"8,225",50,40,"1,500",0,4,0,"26,500","19,590",245,8,0,"11,310","1,500",788,0,151,700,0,0,0,"38,183",0,28,0,0,750,250,848,"2,500","2,600",100,95,0,0,0,60,"1,321",500,0,0,0,0,0,0,45,0,"1,800",880,160,0,0,0,0,0,0,799,0,"3,900",0,0,0,0,0,200,0,"2,562",60,700,118,0,0,"1,400",0,0,0,0,500,4,900,"2,615",0,0,0,0,450,0,0,0,0,10,650,"3,230",198,10,215,0,"5,468","1,500",300,0,120,0,95,0,0,63,400,0,0,325,0,0,0,0,"3,000",0,0,847,0,200,0,550,695,0,"32,000",0,"25,000","8,973",250,0,250,660,300,0,0,"5,739",0,"16,023","3,000","4,010",200,8,"6,589",0,0,118,0,0,0,"1,050","1,800",120,500,"1,250",0,0,25,0,450,0,0,"3,750","1,650",0,0,0,400,0,0,"3,200","2,850",0,0,0,0,0,250,"16,800",500,895,0,15
5909035,"    Fraser Valley H, RDA",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
