Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
1月 2005,100,100,100,100,100,100,351600,533800,420500,592700,286300,216100
2月 2005,101,100.8,100.9,100.8,100.9,101.4,355100,538000,424200,597300,288900,219200
3月 2005,102.2,101.6,101.8,101.5,101.9,103.8,359500,542300,427900,601800,291600,224300
4月 2005,103.1,102.4,102.6,102.3,102.8,104.8,362600,546700,431600,606500,294300,226500
5月 2005,104.1,103.2,103.5,103.1,103.8,106.2,366100,551000,435400,611200,297100,229400
6月 2005,105.3,104.1,104.5,103.9,104.8,108.1,370100,555500,439300,615900,299900,233500
7月 2005,106.5,105.3,105.9,105.1,106.1,109.2,374500,562200,445300,622900,303900,236000
8月 2005,107.7,106.6,107.4,106.3,107.5,110.1,378700,569000,451500,630100,307900,238000
9月 2005,109.8,107.9,108.9,107.5,109,114.3,386000,575900,457900,637300,312100,246900
10月 2005,110.2,108.6,109.4,108.3,109.6,114.1,387600,579700,460200,641800,313800,246500
11月 2005,110.8,109.3,110,109,110.2,114.3,389600,583500,462600,646300,315500,247100
12月 2005,111.6,110,110.6,109.8,110.8,115.3,392300,587300,465000,650900,317300,249100
1月 2006,114.1,112.3,112.8,112,113,118.5,401100,599200,474300,664100,323600,256100
2月 2006,116.5,114.5,115.1,114.3,115.3,121.4,409700,611300,483800,677600,330100,262400
3月 2006,118.9,116.9,117.4,116.7,117.6,123.9,418100,623800,493600,691500,336800,267800
4月 2006,121.5,119.2,119.6,119.1,119.9,127,427100,636500,503000,705900,343200,274500
5月 2006,123.9,121.7,121.9,121.6,122.2,129.3,435500,649600,512700,720800,349800,279400
6月 2006,126.2,124.2,124.3,124.2,124.6,131.2,443600,663000,522600,736000,356600,283500
7月 2006,127.4,125.2,124.8,125.3,125.5,132.9,447800,668100,524700,742600,359300,287300
8月 2006,128.4,126.1,125.3,126.4,126.4,134.2,451500,673300,526900,749400,362000,290000
9月 2006,129.4,127.1,125.9,127.6,127.4,135.2,455000,678600,529200,756200,364800,292200
10月 2006,129.2,126.9,126.2,127.2,128.1,134.8,454400,677500,530600,753900,366800,291200
11月 2006,129,126.8,126.5,126.8,128.9,133.9,453500,676600,532100,751700,368900,289300
12月 2006,128.8,126.6,126.9,126.5,129.7,133.1,452800,675700,533600,749600,371200,287600
1月 2007,130.8,128.5,128.5,128.5,130.7,135.8,460000,686100,540200,761900,374300,293400
2月 2007,132.9,130.5,130.1,130.7,131.9,138.4,467200,696700,546900,774500,377600,299100
3月 2007,134.9,132.5,131.7,132.9,133,140.7,474200,707500,553800,787500,380900,304100
4月 2007,137.3,134.9,133.9,135.3,134.6,143.5,482600,720000,563000,801700,385500,310200
5月 2007,139.2,137.3,136.1,137.7,136.3,144.7,489500,732700,572300,816100,390300,312800
6月 2007,141.4,139.7,138.4,140.2,138,146.7,497200,745700,581900,830900,395100,317000
7月 2007,142.6,140.8,139.6,141.3,138.8,148.1,501300,751700,587000,837300,397400,320100
8月 2007,143.8,142,140.9,142.4,139.6,149.6,505500,757800,592300,843900,399800,323200
9月 2007,145,143.1,142.1,143.5,140.5,151.1,509800,764000,597600,850500,402200,326500
10月 2007,145.4,143.6,142.4,144,141.2,151.1,511100,766400,598600,853700,404300,326600
11月 2007,146,144.1,142.6,144.6,142,152.2,513500,769000,599700,857000,406500,328800
12月 2007,146.9,144.5,142.9,145.2,142.7,154,516600,771600,600800,860400,408600,332800
1月 2008,148.9,146.7,144.6,147.5,144.6,155.9,523400,783200,607900,874100,413900,336900
2月 2008,150.6,149,146,150,146.6,156.6,529400,795400,613900,889300,419800,338400
3月 2008,152.7,151.3,147.5,152.6,148.7,158.8,537000,807700,620100,904300,425800,343100
4月 2008,153,151.7,148.1,152.8,149.2,158.8,538100,809700,622900,905900,427200,343200
5月 2008,153.1,152.2,149.1,153.1,149.7,158.5,538400,812300,627000,907600,428700,342500
