Unnamed: 0,Address,Price,Price Type,Latitude,Longitude,Beds,Baths,Date,Neighborhood,Beds_Category,Price Tag
57,"25 - 9728 Alexandra Road, Richmond",1243000.0,For Sale,49.1787317,-123.11523,1.0,1.0,10-Mar-25,Richmond,1.0,Over priced
58,"111 - 6677 Cambie Street, Vancouver",699999.0,For Sale,49.2243649,-123.1170539,3.0,3.0,10-Mar-25,Oakridge,3.0,Lower priced
59,"40 - 5191 Steveston Highway, Richmond",1490000.0,For Sale,49.1338937,-123.166232,4.0,4.0,10-Mar-25,Richmond,4+,Lower priced
60,"302 - 2200 Douglas Road, Burnaby",699888.0,For Sale,49.2642416,-122.9899479,2.0,1.0,10-Mar-25,Burnaby,2.0,Lower priced
61,"1004 - 1401 Hunter Street, North Vancouver",778000.0,For Sale,49.310499,-123.0347028,1.0,1.0,10-Mar-25,others,1.0,Fair price
62,"6116 Oak Street, Vancouver",1890000.0,For Sale,49.2301302,-123.1280447,3.0,3.0,10-Mar-25,Oakridge,3.0,Fair price
63,"201 - 1675 Lions Gate Lane, North Vancouver",728000.0,For Sale,49.3254849,-123.1226258,1.0,1.0,10-Mar-25,others,1.0,Fair price
64,"1010 - 7288 Acorn Avenue, Burnaby",725000.0,For Sale,49.2172543,-122.9552242,2.0,2.0,10-Mar-25,Burnaby,2.0,Lower priced
65,"205 - 1785 Esquimalt Avenue, West Vancouver",535000.0,For Sale,49.3308936,-123.1619334,1.0,1.0,10-Mar-25,West Vancouver,1.0,Lower priced
66,"111 - 4933 Clarendon Street, Vancouver",798000.0,For Sale,49.2394981,-123.0560367,2.0,2.0,10-Mar-25,Renfrew-Collingwood,2.0,Fair price
67,"28 - 14959 58 Avenue, Surrey",999999.0,For Sale,49.1083862,-122.8085154,3.0,3.0,10-Mar-25,Surrey,3.0,Fair price
68,"101 - 3188 Riverwalk Avenue, Vancouver",1198000.0,For Sale,49.2053271,-123.0389071,3.0,2.0,10-Mar-25,Killarney,3.0,Over priced
69,"411 - 1450 Pennyfarthing Drive, Vancouver",1184000.0,For Sale,49.2726319,-123.1417658,2.0,2.0,10-Mar-25,Fairview,2.0,Fair price
70,"2608 - 198 Aquarius Mews, Vancouver",1490000.0,For Sale,49.2741606,-123.1195035,2.0,2.0,10-Mar-25,Downtown,2.0,Fair price
71,"3304 Mayfair Avenue, Vancouver",1898000.0,For Sale,49.236887,-123.1790349,3.0,3.0,10-Mar-25,Dunbar-Southlands,3.0,Lower priced
72,"10125 Elderberry Crescent, Surrey",1757142.0,For Sale,49.186378,-122.7297781,4.0,5.0,10-Mar-25,Surrey,4+,Fair price
73,"2 - 3268 15th Avenue, Vancouver",2638000.0,For Sale,49.2585831,-123.1774793,3.0,3.0,10-Mar-25,Kitsilano,3.0,Over priced
74,"104 - 2320 Emery Court, North Vancouver",1499900.0,For Sale,49.3304447,-123.0402086,3.0,3.0,10-Mar-25,others,3.0,Fair price
75,"702 - 3451 Sawmill Crescent, Vancouver",1250000.0,For Sale,49.2065741,-123.0326264,2.0,3.0,10-Mar-25,Killarney,2.0,Over priced
76,"202 - 1850 Lorne Street, Vancouver",874900.0,For Sale,49.268271,-123.0998316,1.0,2.0,10-Mar-25,Mount Pleasant,1.0,Over priced
77,"87 - 14151 58a Avenue, Surrey",799999.0,For Sale,49.1095246,-122.8301458,2.0,2.0,10-Mar-25,Surrey,2.0,Fair price
